PubDate,PubTime,Currency,Event,Actual,Forecast,Previous,CurrEvent
2023/01/05,16:00,USD,Crude Oil Inventories,1694000.0,1154000.0,718000.0,USD-Crude Oil Inventories
2023/01/06,10:00,EUR,CPI (YoY)   ,0.092,0.097,0.101,EUR-CPI (YoY)   
2023/01/06,13:30,USD,Average Hourly Earnings (MoM) ,0.003,0.004,0.004,USD-Average Hourly Earnings (MoM) 
2023/01/06,13:30,USD,Nonfarm Payrolls ,223000.0,200000.0,256000.0,USD-Nonfarm Payrolls 
2023/01/06,13:30,USD,Unemployment Rate ,0.035,0.037,0.036,USD-Unemployment Rate 
2023/01/06,15:00,USD,ISM Non-Manufacturing PMI ,49.6,55.0,56.5,USD-ISM Non-Manufacturing PMI 
2023/01/06,15:00,USD,ISM Non-Manufacturing Prices ,67.6,,70.0,USD-ISM Non-Manufacturing Prices 
2023/01/10,14:00,USD,Fed Chair Powell Speaks  ,,,,USD-Fed Chair Powell Speaks  
2023/01/11,15:30,USD,Crude Oil Inventories,18962000.0,-2243000.0,1694000.0,USD-Crude Oil Inventories
2023/01/11,18:00,USD,10-Year Note Auction,0.036,,0.036,USD-10-Year Note Auction
2023/01/12,13:30,USD,Core CPI (MoM) ,0.003,0.003,0.003,USD-Core CPI (MoM) 
2023/01/12,13:30,USD,CPI (YoY) ,0.065,0.065,0.071,USD-CPI (YoY) 
2023/01/12,13:30,USD,CPI (MoM) ,-0.001,0.0,0.002,USD-CPI (MoM) 
2023/01/12,13:30,USD,Initial Jobless Claims,205000.0,215000.0,206000.0,USD-Initial Jobless Claims
2023/01/12,18:00,USD,30-Year Bond Auction,0.036,,0.035,USD-30-Year Bond Auction
2023/01/17,7:00,EUR,German CPI (MoM) ,-0.008,-0.008,-0.005,EUR-German CPI (MoM) 
2023/01/18,10:00,EUR,CPI (YoY) ,0.092,0.092,0.101,EUR-CPI (YoY) 
2023/01/18,13:30,USD,Core Retail Sales (MoM) ,-0.011,-0.004,-0.006,USD-Core Retail Sales (MoM) 
2023/01/18,13:30,USD,PPI (MoM) ,-0.005,-0.001,0.002,USD-PPI (MoM) 
2023/01/18,13:30,USD,Retail Sales (MoM) ,-0.011,-0.008,-0.01,USD-Retail Sales (MoM) 
2023/01/19,13:30,USD,Initial Jobless Claims,190000.0,214000.0,205000.0,USD-Initial Jobless Claims
2023/01/19,13:30,USD,Philadelphia Fed Manufacturing Index ,-8.9,-11.0,-13.7,USD-Philadelphia Fed Manufacturing Index 
2023/01/19,16:00,USD,Crude Oil Inventories,8408000.0,-593000.0,18962000.0,USD-Crude Oil Inventories
2023/01/20,15:00,USD,Existing Home Sales ,4020000.0,3960000.0,4080000.0,USD-Existing Home Sales 
2023/01/24,14:45,USD,S&P Global US Manufacturing PMI   ,46.8,46.0,46.2,USD-S&P Global US Manufacturing PMI   
2023/01/24,14:45,USD,S&P Global Services PMI   ,46.6,45.0,44.7,USD-S&P Global Services PMI   
2023/01/25,15:30,USD,Crude Oil Inventories,533000.0,971000.0,8408000.0,USD-Crude Oil Inventories
2023/01/26,13:30,USD,Durable Goods Orders (MoM) ,0.056,0.025,-0.017,USD-Durable Goods Orders (MoM) 
2023/01/26,13:30,USD,GDP (QoQ)   ,0.029,0.026,0.032,USD-GDP (QoQ)   
2023/01/26,13:30,USD,Initial Jobless Claims,186000.0,205000.0,192000.0,USD-Initial Jobless Claims
2023/01/26,15:00,USD,New Home Sales ,616000.0,617000.0,602000.0,USD-New Home Sales 
2023/01/26,19:45,USD,U.S. President Biden Speaks  ,,,,USD-U.S. President Biden Speaks  
2023/01/27,13:30,USD,Core PCE Price Index (MoM) ,0.003,0.003,0.002,USD-Core PCE Price Index (MoM) 
2023/01/27,13:30,USD,Core PCE Price Index (YoY) ,0.044,0.044,0.047,USD-Core PCE Price Index (YoY) 
2023/01/30,9:00,EUR,German GDP (QoQ)   ,-0.002,0.0,0.005,EUR-German GDP (QoQ)   
2023/01/31,14:45,USD,Chicago PMI ,44.3,45.0,45.1,USD-Chicago PMI 
2023/01/31,15:00,USD,CB Consumer Confidence ,107.1,109.0,109.0,USD-CB Consumer Confidence 
2023/02/01,10:00,EUR,CPI (YoY)   ,0.085,0.09,0.092,EUR-CPI (YoY)   
2023/02/01,13:15,USD,ADP Nonfarm Employment Change ,106000.0,178000.0,253000.0,USD-ADP Nonfarm Employment Change 
2023/02/01,14:45,USD,S&P Global US Manufacturing PMI ,46.9,46.8,46.8,USD-S&P Global US Manufacturing PMI 
2023/02/01,15:00,USD,ISM Manufacturing PMI ,47.4,48.0,48.4,USD-ISM Manufacturing PMI 
2023/02/01,15:00,USD,ISM Manufacturing Prices ,44.5,39.5,39.4,USD-ISM Manufacturing Prices 
2023/02/01,15:00,USD,JOLTs Job Openings ,11012000.0,10250000.0,10440000.0,USD-JOLTs Job Openings 
